month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201712,91910,"chula vista, ca",*,569950,0.0259,nan,52,-0.037,-0.2353,33,0.2222,-0.0571,28,-0.2222,0.1667,0,-1,-1,12,-0.25,0,2,-0.3333,-0.8,315.7084189,-0.0066,0.0524,1755,0.0072,0.1743,652245,0.0219,0.3113,54,-0.0526,-0.3077,0.0385,-0.0171,-0.1086
201711,91910,"chula vista, ca",nan,555545,-0.008,0.1694,54,-0.0357,-0.2703,27,0.4211,-0.2895,36,-0.1818,-0.1,4,0,-0.5,16,-0.4286,-0.3333,3,0,-0.7273,317.8176715,0.0433,0.149,1742.5,-0.0099,0.0816,638243,0.0349,0.298,57,-0.0339,-0.3294,0.0556,0.002,-0.0931
201711,92110,"san diego, ca",nan,469519,5.00E-04,-0.1863,37,0.1563,-0.0513,24,-0.2836,-0.4783,28,-0.125,1.3333,0,nan,nan,12,2,2,0,-1,-1,404.2003074,0.0262,0.0539,1176,0,-0.1067,586262,-0.0135,-0.087,37,0.1212,-0.0976,0,-0.0313,-0.0513
201710,92110,"san diego, ca",nan,469300,-0.0606,-0.0799,32,-0.1351,-0.2381,33.5,0.0469,0.1964,32,-0.1111,0,0,nan,nan,4,-0.6667,-0.75,1,-0.6667,-0.5,393.8797979,0.003,0.0257,1176,-0.0689,-0.1165,594283,-0.1019,-0.0688,33,-0.175,-0.25,0.0313,-0.0498,-0.0164
201710,91910,"chula vista, ca",nan,560050,0.0182,0.1789,56,-0.0345,-0.3563,19,-0.3667,-0.3448,44,0.1,-0.0833,4,0,nan,28,-0.125,-0.4615,3,0,-0.75,304.627982,0.0399,0.1026,1760,-0.0372,0.121,616690,0.015,0.2479,59,-0.0328,-0.404,0.0536,0.0018,-0.0844
201709,91910,"chula vista, ca",nan,550050,-0.0517,0.153,58,-0.0938,-0.3012,30,0.2766,0.25,40,-0.1667,-0.2857,4,nan,nan,32,0.1429,-0.1111,3,-0.25,-0.8,292.9299363,-0.0165,0.0537,1828,-0.0489,0.1666,607595,-0.0481,0.2244,61,-0.1029,-0.3776,0.0517,-0.0108,-0.129
201709,92110,"san diego, ca",nan,499549,0.0428,-0.001,37,-0.0513,-0.26,32,-0.1467,-0.2195,36,0.2857,0.8,0,nan,nan,12,-0.25,-0.5714,3,2,0.5,392.6878808,0.0096,0.0082,1263,-0.0511,-0.0511,661680,-0.0804,0.0631,40,0,-0.2308,0.0811,0.0554,0.0411
201708,92110,"san diego, ca",nan,479050,-0.3526,-0.0273,39,0.2581,-0.3607,37.5,0.0714,0.3393,28,0.75,-0.2222,0,nan,nan,16,1,-0.2,1,0,-0.6667,388.9668912,-0.0881,0.0052,1331,-0.1424,0.0407,719547,-0.0849,0.1968,40,0.25,-0.375,0.0256,-0.0066,-0.0235
201708,91910,"chula vista, ca",nan,580050,0.0357,0.1788,64,0.0492,-0.1899,23.5,-0.06,-0.06,48,-0.0769,-0.25,0,-1,-1,28,0.4,-0.125,4,0,-0.7333,297.8395062,0,0.0562,1922,0.0058,0.1223,638302,-0.0053,0.226,68,0.0462,-0.2766,0.0625,-0.0031,-0.1274
201707,92110,"san diego, ca",*,739950,0.1662,nan,31,-0.0882,-0.4259,35,0.4894,0.5217,16,-0.5556,-0.6,0,nan,nan,8,-0.5,-0.5,1,-0.5,-0.6667,426.5333333,0.0434,0.0939,1552,-0.0023,0.2078,786273,0.0682,0.3319,32,-0.1111,-0.4386,0.0323,-0.0266,-0.0233
201707,91910,"chula vista, ca",nan,560050,0.0182,0.1428,61,-0.1974,-0.2375,25,0.1364,-0.1071,52,-0.2778,-0.1333,4,0,0,20,-0.375,-0.5455,4,0.3333,-0.6923,297.8395062,-0.0104,0.0639,1911,0.028,0.1402,641713,7.00E-04,0.1822,65,-0.1772,-0.3011,0.0656,0.0261,-0.0969
201706,92110,"san diego, ca",nan,634500,nan,nan,34,nan,nan,23.5,nan,nan,36,nan,nan,0,nan,nan,16,nan,nan,2,nan,nan,408.7844331,nan,nan,1555.5,nan,nan,736081,nan,nan,36,nan,nan,0.0588,nan,nan
201706,91910,"chula vista, ca",nan,550050,nan,nan,76,nan,nan,22,nan,nan,72,nan,nan,4,nan,nan,32,nan,nan,3,nan,nan,300.9721686,nan,nan,1859,nan,nan,641274,nan,nan,79,nan,nan,0.0395,nan,nan
201705,91910,"chula vista, ca",nan,557550,nan,nan,70,nan,nan,23,nan,nan,56,nan,nan,4,nan,nan,24,nan,nan,7,nan,nan,289.5809465,nan,nan,1993,nan,nan,655544,nan,nan,77,nan,nan,0.1,nan,nan
201705,92110,"san diego, ca",nan,584050,nan,nan,30,nan,nan,18,nan,nan,28,nan,nan,0,nan,nan,8,nan,nan,2,nan,nan,412.1561668,nan,nan,1537,nan,nan,703544,nan,nan,32,nan,nan,0.0667,nan,nan
201704,92110,"san diego, ca",nan,575050,nan,nan,30,nan,nan,18,nan,nan,32,nan,nan,0,nan,nan,8,nan,nan,2,nan,nan,400.9433962,nan,nan,1440,nan,nan,675226,nan,nan,32,nan,nan,0.0667,nan,nan
201704,91910,"chula vista, ca",nan,524050,nan,nan,70,nan,nan,24,nan,nan,64,nan,nan,4,nan,nan,28,nan,nan,7,nan,nan,287.3356064,nan,nan,1865,nan,nan,631662,nan,nan,77,nan,nan,0.1,nan,nan
201703,91910,"chula vista, ca",nan,524500,nan,nan,66,nan,nan,35.5,nan,nan,60,nan,nan,4,nan,nan,12,nan,nan,6,nan,nan,295.1166181,nan,nan,1743.5,nan,nan,617090,nan,nan,72,nan,nan,0.0909,nan,nan
201703,92110,"san diego, ca",nan,565050,nan,nan,25,nan,nan,25.5,nan,nan,28,nan,nan,0,nan,nan,8,nan,nan,2,nan,nan,401.2561061,nan,nan,1253.5,nan,nan,602112,nan,nan,27,nan,nan,0.08,nan,nan
201702,92110,"san diego, ca",nan,697050,nan,nan,25,nan,nan,29.5,nan,nan,20,nan,nan,0,nan,nan,8,nan,nan,3,nan,nan,401.2559809,nan,nan,1443,nan,nan,670984,nan,nan,28,nan,nan,0.12,nan,nan
